r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu
2,0,0,408380,6476,53108,0,0,0,0,1184,373,0,62,38,0,0,0
1,0,0,408844,6476,53112,0,0,0,0,1192,366,0,62,38,0,0,0
8,0,0,409868,6484,53112,0,0,0,16,1202,356,0,64,35,1,0,0
1,0,0,408828,6484,53112,0,0,0,0,1246,368,0,64,36,0,0,0
11,0,0,410376,6492,53108,0,0,0,16,1280,345,0,66,33,1,0,0
1,0,0,409512,6492,53120,0,0,0,0,1216,398,0,63,37,0,0,0
1,0,0,409664,6492,53120,0,0,0,0,1277,334,0,65,35,0,0,0
1,0,0,408832,6500,53120,0,0,0,16,1189,336,0,64,36,1,0,0
15,0,0,409876,6500,53124,0,0,0,0,1210,410,0,62,38,0,0,0
13,0,0,409980,6508,53124,0,0,0,12,1182,363,0,61,39,1,0,0
1,0,0,409780,6508,53128,0,0,0,0,1232,369,0,64,36,0,0,0
7,0,0,409652,6508,53128,0,0,0,0,1235,351,0,65,35,0,0,0
1,0,0,409604,6516,53132,0,0,0,6,1241,418,0,63,36,1,0,0
1,0,0,409852,6516,53132,0,0,0,0,1185,388,0,60,40,0,0,0
8,0,0,409660,6524,53136,0,0,0,6,1267,364,0,66,33,1,0,0
1,0,0,409184,6524,53136,0,0,0,0,1196,361,0,63,37,0,0,0
3,0,0,408876,6524,53140,0,0,0,0,1284,333,0,66,33,0,0,0
2,0,0,410208,6532,53140,0,0,0,6,1257,347,0,59,41,0,0,0
1,0,0,409768,6532,53144,0,0,0,0,1200,322,0,55,45,0,0,0
1,0,0,410248,6532,53144,0,0,0,0,1212,351,0,60,40,0,0,0
1,0,0,409636,6540,53148,0,0,0,6,1323,333,0,67,32,1,0,0
2,0,0,408980,6540,53148,0,0,0,0,1251,364,0,66,34,0,0,0
1,0,0,409768,6548,53152,0,0,0,30,1229,404,0,60,39,1,0,0
2,0,0,410088,6548,53152,0,0,0,0,1256,359,0,58,42,0,0,0
2,0,0,407364,6548,53156,0,0,0,0,1229,325,0,61,39,0,0,0
1,0,0,407952,6556,53160,0,0,0,12,1229,329,0,65,34,0,0,0
1,0,0,407996,6556,53164,0,0,0,0,1232,364,0,62,38,0,0,0
1,0,0,408772,6556,53164,0,0,0,6,1217,329,0,63,37,0,0,0
5,0,0,409416,6564,53168,0,0,0,12,1158,313,0,62,37,1,0,0
2,0,0,407768,6564,53168,0,0,0,0,1198,360,0,63,37,0,0,0
1,0,0,409324,6572,53172,0,0,0,16,1204,382,0,64,35,1,0,0
11,0,0,409788,6572,53172,0,0,0,0,1222,327,0,65,35,0,0,0
1,0,0,409380,6572,53176,0,0,0,6,1244,364,0,63,37,0,0,0
1,0,0,409560,6580,53176,0,0,0,12,1271,363,0,64,35,1,0,0
1,0,0,408484,6580,53180,0,0,0,0,1228,371,0,64,35,0,0,0
1,0,0,408688,6580,53180,0,0,0,4,1212,357,0,64,36,0,0,0
1,0,0,408072,6588,53180,0,0,0,12,1169,363,0,62,37,1,0,0
1,0,0,408056,6588,53184,0,0,0,0,1166,344,0,60,40,0,0,0
1,0,0,409556,6596,53184,0,0,0,16,1248,359,0,65,34,1,0,0
1,0,0,409652,6596,53188,0,0,0,0,1219,377,0,61,39,0,0,0
3,0,0,409328,6596,53192,0,0,0,4,1264,306,0,64,36,0,0,0
1,0,0,409720,6604,53192,0,0,0,12,1255,356,0,60,40,0,0,0
1,0,0,409600,6604,53196,0,0,0,0,1254,313,0,61,39,0,0,0
5,0,0,409164,6612,53200,0,0,0,18,1266,338,0,66,34,0,0,0
1,0,0,409104,6612,53200,0,0,0,0,1251,330,0,65,35,0,0,0
3,0,0,408952,6612,53204,0,0,0,4,1176,354,0,64,36,0,0,0
4,0,0,409948,6620,53208,0,0,0,12,1210,411,0,61,38,1,0,0
1,0,0,409940,6620,53208,0,0,0,0,1263,372,0,62,38,0,0,0
1,0,0,409800,6628,53208,0,0,0,16,1274,334,0,63,36,1,0,0
7,0,0,408380,6628,53212,0,0,0,0,1293,347,0,63,37,0,0,0
2,0,0,409732,6628,53216,0,0,0,0,1264,319,0,62,38,0,0,0
1,0,0,409264,6636,53216,0,0,0,18,1279,351,0,61,38,0,0,0
1,0,0,409464,6636,53220,0,0,0,0,1267,324,0,57,43,0,0,0
5,0,0,409524,6636,53220,0,0,0,4,1231,381,0,63,37,0,0,0
0,0,0,409856,6644,53224,0,0,0,12,1204,367,0,53,46,1,0,0
7,0,0,409876,6644,53224,0,0,0,0,1054,285,0,49,51,0,0,0
1,0,0,409712,6652,53228,0,0,0,16,1282,350,0,65,34,1,0,0
