Timestamp,MemTotal,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Zswap,Zswapped,Dirty,Writeback,AnonPages,Mapped,Shmem,KReclaimable,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,SecPageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,Percpu,HardwareCorrupted,AnonHugePages,ShmemHugePages,ShmemPmdMapped,FileHugePages,FilePmdMapped,CmaTotal,CmaFree,Unaccepted,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,Hugetlb,DirectMap4k,DirectMap2M,DirectMap1G
1699520626,7419132,3311116,4156980,19416,1028196,90404,1606288,1036172,1214852,431960,391436,604212,32,32,4194300,2438048,400292,1740788,204,0,1590680,646920,52492,135492,331000,135492,195508,18976,49928,0,0,0,0,7903864,13261744,34359738367,91808,0,12288,0,731136,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520627,7419132,3175368,4033296,19416,1040756,74964,1743716,1034356,1344996,425364,398720,608992,32,32,4194300,2441632,399988,1737064,228,0,1714636,657520,52492,135492,331000,135492,195508,18976,50116,0,0,0,0,7903864,13298140,34359738367,91872,0,12288,0,862208,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520628,7419132,3219812,4085460,19424,1046312,72412,1681880,1044884,1299620,411728,382260,633156,32,32,4194300,2434464,399992,1744252,232,0,1657732,672012,50320,135524,331256,135524,195732,18976,50424,0,0,0,0,7903864,13295664,34359738367,91840,0,12288,0,815104,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520629,7419132,3303764,4157792,19424,1034708,79404,1628848,1019076,1233876,410252,394972,608824,32,32,4194300,2444592,399524,1733972,236,0,1590324,665272,50320,135524,331244,135524,195720,19024,50664,0,0,0,0,7903864,13260732,34359738367,91888,0,12288,0,729088,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520630,7419132,3197012,4041364,19424,1025320,78748,1759856,1008648,1363436,410948,396420,597700,32,32,4194300,2460464,399148,1718556,236,0,1720572,659168,50320,135524,330968,135524,195444,18976,50264,0,0,0,0,7903864,13295740,34359738367,91872,0,12288,0,833536,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520631,7419132,3284140,4142328,19432,1038768,74020,1569896,1093700,1224300,431340,345596,662360,32,32,4194300,2447252,399012,1731496,236,0,1602108,665484,50320,135524,330968,135524,195444,18976,50148,0,0,0,0,7903864,13296256,34359738367,91840,0,12288,0,739328,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520633,7419132,3286328,4117032,19440,1011288,86980,1609796,1051848,1235460,445728,374336,606120,32,32,4194300,2465940,398208,1712800,236,0,1627608,651604,50324,135556,331008,135556,195452,18976,50396,0,0,0,0,7903864,13260760,34359738367,91856,0,12288,0,733184,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520634,7419132,3195940,4037836,19440,1022440,85820,1712564,1049184,1341644,428456,370920,620728,32,32,4194300,2452296,398860,1726440,248,0,1687424,660004,50324,135556,331024,135556,195468,18976,50572,0,0,0,0,7903864,13295656,34359738367,91824,0,12288,0,806912,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520635,7419132,3153360,3996756,19440,1023744,85028,1766744,1025016,1374584,424060,392160,600956,32,32,4194300,2451452,398920,1727316,248,0,1744176,651852,50324,135620,331092,135620,195472,19048,50428,0,0,0,0,7903864,13261012,34359738367,91888,0,12288,0,868352,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520636,7419132,3203756,4060196,19440,1036872,80092,1695956,1046244,1306900,429124,389056,617120,32,32,4194300,2440848,398648,1737820,248,0,1682136,661992,50384,135588,331060,135588,195472,18976,50560,0,0,0,0,7903864,13295872,34359738367,91856,0,12288,0,819200,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
